order_id,customer_id,order_timestamp,prior_order_count,prior_total_spend,prior_total_discount,prior_return_count,prior_average_order_value,prior_return_rate,prior_average_discount,days_since_previous_order,is_first_order,customer_age,gender,customer_segment,customer_state,customer_country,region,customer_acquisition_cost
ORD-301242,CUST-003102,2023-11-06 16:37:47,5,6532.01,888.71,0,1306.402,0.0,177.74200000000002,312.1238425925926,0,55,Male,Consumer,Texas,USA,South,73.06
ORD-773460,CUST-003124,2025-12-24 01:22:36,9,9538.760000000002,2064.63,1,1059.8622222222225,0.1111111111111111,229.40333333333334,317.4026736111111,0,26,Male,Premium,Baden-Württemberg,Germany,South,67.27
ORD-449374,CUST-012496,2021-07-05 14:24:21,0,0.0,0.0,0,,,,,1,69,Female,Premium,New York,USA,East,52.02
ORD-567636,CUST-023928,2023-01-21 07:20:26,4,2931.97,525.44,1,732.9925,0.25,131.36,23.77775462962963,0,65,Male,Consumer,North Carolina,USA,South,65.91
ORD-820028,CUST-012730,2022-05-13 09:46:21,0,0.0,0.0,0,,,,,1,34,Female,Consumer,Gujarat,India,West,66.26
ORD-208728,CUST-021468,2021-02-10 10:05:47,0,0.0,0.0,0,,,,,1,41,Female,Consumer,Alberta,Canada,Central,29.09
ORD-686230,CUST-023734,2021-05-03 02:55:44,0,0.0,0.0,0,,,,,1,61,Female,Consumer,Texas,USA,South,35.14
ORD-480470,CUST-020081,2022-10-13 21:19:50,1,933.18,173.22,0,933.18,0.0,173.22,627.8895601851851,0,43,Female,VIP,New York,USA,East,31.21
ORD-417329,CUST-011921,2022-12-06 17:22:52,2,2818.45,289.80999999999995,1,1409.225,0.5,144.90499999999997,15.16925925925926,0,22,Female,Consumer,Quebec,Canada,East,66.68
ORD-961581,CUST-016600,2023-09-19 18:38:32,3,6902.419999999999,587.6800000000001,0,2300.8066666666664,0.0,195.89333333333335,112.81549768518518,0,36,Female,Consumer,Pennsylvania,USA,East,15.83
ORD-560607,CUST-021779,2024-03-15 18:20:55,4,3714.2400000000002,615.47,0,928.5600000000001,0.0,153.8675,40.838425925925925,0,45,Female,Consumer,Hesse,Germany,Central,28.71
ORD-145098,CUST-013168,2022-08-25 10:30:17,1,367.65,18.58,0,367.65,0.0,18.58,23.676666666666666,0,24,Female,Business,Illinois,USA,Central,45.47
ORD-163733,CUST-002075,2024-03-03 04:27:09,1,2902.4700000000003,320.36,0,2902.4700000000003,0.0,320.36,1068.8996296296295,0,45,Female,Consumer,England,UK,North,52.45
ORD-825133,CUST-018476,2022-09-04 22:09:12,3,7536.530000000001,1249.6799999999998,1,2512.1766666666667,0.3333333333333333,416.55999999999995,194.16587962962964,0,51,Male,Premium,Georgia,USA,South,76.67
ORD-475363,CUST-012765,2024-07-05 19:49:42,4,5861.46,2654.11,0,1465.365,0.0,663.5275,211.3502662037037,0,19,Female,VIP,Hesse,Germany,Central,76.56
ORD-968844,CUST-001436,2022-10-20 21:59:35,2,3466.1,806.3,0,1733.05,0.0,403.15,65.606875,0,39,Female,VIP,Wales,UK,West,66.38
ORD-810046,CUST-000109,2021-01-04 02:13:38,0,0.0,0.0,0,,,,,1,68,Male,Premium,Michigan,USA,Central,66.95
ORD-498913,CUST-022079,2025-03-24 19:38:47,7,8204.05,1859.95,1,1172.0071428571428,0.14285714285714285,265.70714285714286,448.8985648148148,0,48,Female,Premium,Victoria,Australia,South,37.99
ORD-652783,CUST-000860,2024-12-09 04:27:49,2,2171.46,615.7500000000001,0,1085.73,0.0,307.87500000000006,382.4706712962963,0,46,Female,Consumer,Texas,USA,South,53.36
ORD-537228,CUST-012835,2025-04-26 11:19:10,4,1482.37,166.81,1,370.5925,0.25,41.7025,687.4193865740741,0,67,Male,VIP,Bavaria,Germany,South,76.5
ORD-491026,CUST-020053,2023-10-20 19:08:40,1,243.0,16.99,0,243.0,0.0,16.99,358.6356597222222,0,41,Female,Consumer,Illinois,USA,Central,28.21
ORD-114657,CUST-016281,2024-02-10 02:37:56,5,4707.4400000000005,600.6500000000001,0,941.488,0.0,120.13000000000002,318.14400462962965,0,28,Male,Consumer,Illinois,USA,Central,54.15
